enrichm	p_higher_orig	p_lower_orig	PI_value	cell_1	cell_2
-4.24929946549133	1	0	-8.49859893098266	Other	Tumor
-4.10461622478817	1	0	-8.20923244957634	APC	Tumor
-2.61038509760106	1	0	-5.22077019520213	Helper T-Cell	Tumor
1.99306950609138	0.11	1	1.83525577913954	CTL	CTL
-1.99248956828794	1	0	-3.98497913657588	CTL	Tumor
1.93021237167977	0	1	3.86042474335955	Tumor	Tumor
-1.88882441089321	1	0	-3.77764882178642	T-reg	Tumor
1.79065346506019	0	1	3.58130693012039	Helper T-Cell	Helper T-Cell
1.78325924644014	0	1	3.56651849288028	APC	CTL
1.62293035092018	0.09	1	1.62293035092018	APC	APC
-1.31315788525963	1	0.34	-0.59871064270328	APC	T-reg
1.01449956969512	0	1	2.02899913939023	Helper T-Cell	T-reg
0.668724732853385	0	1	1.33744946570677	APC	Helper T-Cell
0.538122246518184	0.04	0.99	0.700113184054244	CTL	Helper T-Cell
0.475616185328899	0	1	0.951232370657799	Other	Other
-0.326981322613648	1	0.8	-0.0299236895660221	CTL	T-reg
-0.136256371672077	1	0	-0.272512743344155	Helper T-Cell	Other
0.106915203916512	0.29	0.79	0.0559036876752572	Other	T-reg
0.0971306802189947	0.09	0.93	0.0971306802189947	APC	Other
-0.0648828515848544	0.8	0.24	-0.0390633690625109	CTL	Other
0	1	1	0	T-reg	T-reg
