enrichm	p_higher_orig	p_lower_orig	PI_value	cell_1	cell_2
-3.1811025507538	1	0	-6.3622051015076	Helper T-Cell	Tumor
2.73264937541681	0	1	5.46529875083362	APC	APC
2.67167413391449	0.2	1	1.81080917872571	APC	Helper T-Cell
2.2448191691896	0.15	1	1.78660671930893	APC	CTL
2.01994107563391	0.01	1	3.43181929802825	Other	Other
1.2508519328764	0	1	2.50170386575281	APC	Other
-1.1030934929641	1	0.73	-0.144249639050866	Other	T-reg
-1.08091999538357	1	0.74	-0.135048778597872	APC	T-reg
1	0.98	1	0.00436480540245009	Helper T-Cell	Helper T-Cell
-1	1	0.93	-0.0268721464003014	CTL	Helper T-Cell
0.994147273754562	0.21	1	0.653728699143437	CTL	Other
-0.866201501932541	1	0	-1.73240300386508	CTL	Tumor
0.853023723629783	0.35	0.99	0.378484492960711	Helper T-Cell	Other
-0.837086970432431	1	0	-1.67417394086486	APC	Tumor
-0.382277750802194	1	0	-0.764555501604389	Other	Tumor
0.112474729258412	0.54	1	0.0292026362045173	T-reg	Tumor
0.0507381376691635	0	1	0.101476275338327	Tumor	Tumor
0	1	1	0	CTL	CTL
