enrichm	p_higher_orig	p_lower_orig	PI_value	cell_1	cell_2
-3.42990284884277	1	0	-6.85980569768554	APC	Tumor
-3.0703893278914	1	0	-6.1407786557828	Other	T-reg
-2.92219784839637	1	0	-5.84439569679273	CTL	T-reg
2.45716856712873	0.02	1	3.74196978445128	Helper T-Cell	Helper T-Cell
-2.37851162325373	1	0	-4.75702324650746	APC	T-reg
-2.12112181009557	1	0	-4.24224362019114	Other	Tumor
-1.97436882356865	1	0	-3.9487376471373	CTL	Tumor
-1.92830852280731	1	0	-3.85661704561462	Helper T-Cell	Tumor
1.51884361020799	0	1	3.03768722041597	T-reg	Tumor
1.50326114562753	0	1	3.00652229125507	APC	APC
1.40790277933972	0	1	2.81580555867943	Tumor	Tumor
-1.23078020682917	1	0.51	-0.349537463459954	Helper T-Cell	T-reg
1.15694802187124	0	1	2.31389604374249	CTL	CTL
1.05505094051273	0	1	2.11010188102547	Other	Other
-1	1	0.98	-0.00436480540245009	T-reg	T-reg
0.410693062082405	0	1	0.821386124164811	CTL	Helper T-Cell
-0.337283531468308	1	0	-0.674567062936617	CTL	Other
0.19246968495198	0.18	0.84	0.138818067197359	APC	Helper T-Cell
0.123318953399743	0.02	0.98	0.187799813022685	APC	Other
-0.0856645922303168	0.69	0.34	-0.0390572250655045	Helper T-Cell	Other
-0.0230410739324255	0.63	0.38	-0.0094223106230879	APC	CTL
