enrichm	p_higher_orig	p_lower_orig	PI_value	cell_1	cell_2
-1.29444735846526	1	0.47	-0.412616438266824	Helper T-Cell	Tumor
1.12291018192472	0	1	2.24582036384945	CTL	CTL
-1.03394733192334	1	0.79	-0.100199849386336	T-reg	T-reg
-1	1	0.99	0	Tumor	Tumor
-1	1	0.97	-0.00877392430750515	T-reg	Tumor
0.989111683857264	0.14	1	0.814937762100153	APC	Tumor
-0.946106992004798	1	0.05	-1.15599964518435	Other	Tumor
0.633325522282555	0.23	0.96	0.392528039047853	CTL	T-reg
0.612269846716892	0	1	1.22453969343378	Helper T-Cell	Helper T-Cell
0.58009674554934	0.01	1	0.985566970301273	CTL	Helper T-Cell
0.468282832721804	0	1	0.936565665443608	APC	APC
-0.458344165952043	1	0	-0.916688331904086	CTL	Other
-0.32686601770303	0.88	0.3	-0.166256577587606	APC	T-reg
-0.281394550505459	1	0	-0.562789101010918	Helper T-Cell	Other
-0.268497431898551	1	0	-0.536994863797102	APC	Other
0.253643355320887	0.42	0.82	0.0929682907577406	Helper T-Cell	T-reg
0.188893214130851	0	1	0.377786428261701	Other	Other
-0.16349873228288	1	0.9	-0.00669668043157301	CTL	Tumor
-0.0747217486874312	0.74	0.4	-0.0289334673459043	Other	T-reg
0.0600651832640126	0.35	0.69	0.026650771605197	APC	Helper T-Cell
0.0118117346542397	0.47	0.58	0.00376509392283333	APC	CTL
