enrichm	p_higher_orig	p_lower_orig	PI_value	cell_1	cell_2
2.92926843630083	0	1	5.85853687260166	Tumor	Tumor
2.80255393579378	0.04	1	3.64620673493386	APC	APC
2.33845055080002	0.31	1	1.15718230576122	T-reg	T-reg
2.03716296812683	0	1	4.07432593625366	CTL	CTL
-1.77086819066602	1	0	-3.54173638133204	Helper T-Cell	Tumor
-1.75783306692776	1	0	-3.51566613385553	CTL	Other
1.72012074916344	0	1	3.44024149832688	Helper T-Cell	Helper T-Cell
-1.45708568170328	1	0	-2.91417136340656	CTL	Tumor
-1.44095219802964	1	0	-2.88190439605927	Other	Tumor
-1.29930979222534	1	0	-2.59861958445069	APC	Tumor
-1.0499404918651	1	0	-2.09988098373019	Other	T-reg
0.868630020433169	0	1	1.73726004086634	Helper T-Cell	T-reg
-0.752325134237587	1	0	-1.50465026847517	APC	Other
-0.740544268607557	1	0	-1.48108853721511	Helper T-Cell	Other
0.691776820399951	0	1	1.3835536407999	APC	Helper T-Cell
0.546827371834385	0.21	0.92	0.359581277223894	APC	T-reg
0.435167571071124	0.01	1	0.739336650109602	APC	CTL
0.434492155108088	0	1	0.868984310216175	Other	Other
0.422141885978794	0.12	0.93	0.37404162434124	T-reg	Tumor
0.262558543690158	0	1	0.525117087380315	CTL	Helper T-Cell
0.222570542830703	0.2	0.85	0.150854019491248	CTL	T-reg
