enrichm	p_higher_orig	p_lower_orig	PI_value	cell_1	cell_2
-3.61353165291793	1	0	-7.22706330583585	CD4+ Epithelial+	CD8+ Tcell+
-3.35825558670513	1	0	-6.71651117341025	CD4+ Epithelial+	CD4+ Tcell+
2.12441650277975	0	1	4.24883300555949	CD4+ Epithelial+	CD4+ Epithelial+
2.02473667832151	0	1	4.04947335664301	CD4+ Tcell+	CD8+ Tcell+
-1.77641504587999	1	0	-3.55283009175997	CD4+	CD4+ Epithelial+
-1.65214227213666	1	0	-3.30428454427333	CD4+ APC+	CD4+ Epithelial+
1.55800268686867	0	1	3.11600537373734	CD4+ Tcell+	CD4+ Tcell+
1.16138432973936	0	1	2.32276865947872	CD4+ APC+	CD4+ APC+
-1.14114210081328	1	0	-2.28228420162657	CD4+	CD8+ Tcell+
0.877563924339007	0	1	1.75512784867801	CD4+ APC+	CD4+ Tcell+
-0.461140533211839	1	0	-0.922281066423678	CD4+	CD4+ Tcell+
0.355292375752314	0	1	0.710584751504628	CD4+	CD4+
0.281181752544053	0.39	0.87	0.111893469045799	CD4+ APC+	CD8+ Tcell+
-0.145505151162471	1	0	-0.291010302324942	CD4+	CD4+ APC+
-0.137503523749935	1	0.99	0	CD8+ Tcell+	CD8+ Tcell+
