source,target,weight,type
CD8+ FoxP3+ Epithelial+,CD8+ PD.L1+ Epithelial+,-4.81864608282254,Depletion
CD8+ PD.L1+ Epithelial+,FoxP3+ Treg+ Epithelial+,-2.70597790168252,Depletion
CD8+ Tcell+,PD.L1+ CD4+ Epithelial+,-2.68481873755322,Depletion
CD8+ FoxP3+ Epithelial+,PD.L1+ CD4+ Epithelial+,-2.38681094647222,Depletion
CD4+,CD8+ PD.L1+ Epithelial+,-2.37309134746948,Depletion
CD4+,CD8+ FoxP3+ Epithelial+,-2.2684888359259,Depletion
CD4+ Epithelial+,PD.L1+ CD4+ Tcell+,-2.10873563954088,Depletion
CD4+ Tcell+,PD.L1+ CD4+ Epithelial+,-1.95853338270462,Depletion
CD4+,PD.L1+ CD4+ Epithelial+,-1.79410389855975,Depletion
CD4+ Epithelial+,CD8+ PD.L1+ APC+,-1.74846123300404,Depletion
CD4+,CD8+ Epithelial+,-1.6353674541584,Depletion
CD4+ Epithelial+,CD8+ PD.L1+ Tcell+,-1.38523379950904,Depletion
CD4+ APC+,PD.L1+ CD4+ Epithelial+,-1.32192809488736,Depletion
CD4+ APC+,CD8+ PD.L1+ Epithelial+,-1.28991011182519,Depletion
CD8+ APC+,CD8+ PD.L1+ Epithelial+,-1.28010791919274,Depletion
CD8+ Epithelial+,PD.L1+ CD4+ Epithelial+,-1.24229438156191,Depletion
CD4+ Tcell+,CD8+ PD.L1+ Epithelial+,-1.17012536183995,Depletion
CD4+ Tcell+,CD8+ Epithelial+,-1.14669594803066,Depletion
CD4+ Epithelial+,CD8+ APC+,-1.08678376614207,Depletion
CD4+ APC+,CD8+ Epithelial+,-0.997017440232879,Depletion
CD8+ Epithelial+,CD8+ PD.L1+ Tcell+,-0.993573730840567,Depletion
CD4+ Epithelial+,CD8+ PD.L1+ Epithelial+,-0.904750622570357,Depletion
CD8+ PD.L1+ Epithelial+,CD8+ Tcell+,-0.811275291428947,Depletion
CD4+ Epithelial+,CD4+ Tcell+,-0.682622685261278,Depletion
CD8+ Epithelial+,CD8+ PD.L1+ Epithelial+,-0.598766371830474,Depletion
CD8+ Epithelial+,CD8+ FoxP3+ Epithelial+,-0.574774312765524,Depletion
CD4+ Epithelial+,CD8+ FoxP3+ Epithelial+,-0.472804742801136,Depletion
CD4+ Epithelial+,CD8+ Tcell+,-0.460717839998188,Depletion
CD4+ Epithelial+,PD.L1+ CD4+ Epithelial+,-0.283347787595853,Depletion
CD4+ APC+,CD4+ Epithelial+,-0.154430851764512,Depletion
CD4+ Epithelial+,CD8+ Epithelial+,-0.0806551972356883,Depletion
CD4+,CD4+,3.09107409480272,Enrichment
CD4+ Tcell+,CD4+ Tcell+,2.91862422439095,Enrichment
CD4+ APC+,CD4+ APC+,2.79455308571915,Enrichment
CD4+,CD4+ Tcell+,2.29808135293299,Enrichment
CD4+ APC+,CD4+ Tcell+,1.76492282371399,Enrichment
PD.L1+ CD4+ Epithelial+,PD.L1+ CD4+ Epithelial+,1.63486740654747,Enrichment
CD8+ PD.L1+ APC+,CD8+ PD.L1+ Epithelial+,1.35198532874354,Enrichment
CD4+ Tcell+,CD8+ Tcell+,1.3011212460977,Enrichment
CD8+ PD.L1+ Epithelial+,CD8+ PD.L1+ Epithelial+,1.26800941970318,Enrichment
CD4+,CD4+ APC+,1.0787212747552,Enrichment
CD8+ PD.L1+ Epithelial+,PD.L1+ CD4+ Epithelial+,0.951526077252873,Enrichment
CD8+ PD.L1+ Epithelial+,CD8+ PD.L1+ Tcell+,0.888183119913714,Enrichment
CD8+ Epithelial+,CD8+ Epithelial+,0.864604743135812,Enrichment
CD4+ Epithelial+,CD4+ Epithelial+,0.404267056588847,Enrichment
