enrichm	p_higher_orig	p_lower_orig	PI_value	cell_1	cell_2
-4.62016744862495	1	0	-9.2403348972499	CD4+ Tcell+	CD8+ PD.L1+ Epithelial+
-4.06488285158485	1	0	-8.12976570316971	CD8+ PD.L1+ Epithelial+	CD8+ Tcell+
3.72867339887004	0.22	1	2.37990843908042	CD4+ Tcell+	CD4+ Tcell+
3.25585518022949	0.02	1	4.95827265168237	CD4+ APC+	CD4+ APC+
3.14575207928287	0	1	6.29150415856575	CD8+ PD.L1+ Tcell+	CD8+ PD.L1+ Tcell+
-3.14130620727179	1	0	-6.28261241454359	CD4+ APC+	CD8+ PD.L1+ Epithelial+
3.05062607306997	0	1	6.10125214613994	CD4+	CD4+
2.92785021424416	0.22	1	1.86876529206198	PD.L1+ CD4+ Tcell+	PD.L1+ CD4+ Tcell+
-2.82578562746479	1	0	-5.65157125492958	CD8+ FoxP3+ Tcell+	CD8+ PD.L1+ Epithelial+
-2.71620703399941	1	0	-5.43241406799882	CD8+ PD.L1+ Epithelial+	PD.L1+ CD4+ APC+
-2.7084079834836	1	0	-5.41681596696719	CD8+	CD8+ PD.L1+ Epithelial+
-2.67807190511264	1	0	-5.35614381022528	CD8+ APC+	CD8+ PD.L1+ Epithelial+
2.64466874684542	0.26	1	1.50385448125255	PD.L1+ CD4+	PD.L1+ CD4+
2.56878257366572	0.16	1	1.97680940030915	CD4+ APC+	CD8+ APC+
-2.48284828306847	1	0	-4.96569656613693	CD8+ FoxP3+ APC+	CD8+ PD.L1+ Epithelial+
-2.46492234248775	1	0	-4.92984468497549	CD4+	CD8+ PD.L1+ Epithelial+
2.41761144294267	0.83	1	0.183063264484583	CD8+ Epithelial+	CD8+ Epithelial+
2.41651794583347	0	1	4.83303589166695	CD4+	CD8+ Tcell+
-2.3733234002021	1	0	-4.7466468004042	CD8+ PD.L1+ APC+	CD8+ PD.L1+ Epithelial+
2.32948431514352	0	1	4.65896863028705	CD4+	CD4+ APC+
-2.29278174922785	1	0	-4.58556349845569	CD8+ PD.L1+ Epithelial+	FoxP3+ Treg+ Tcell+
2.24009442306991	0.18	1	1.61566003616482	CD4+ Tcell+	CD8+ Tcell+
2.13722204973853	0	1	4.27444409947706	CD4+	CD4+ Tcell+
2.11690762408538	0	1	4.23381524817077	CD4+	PD.L1+ CD4+
-2.09423606984577	1	0	-4.18847213969153	CD8+ APC+	PD.L1+ CD4+ Epithelial+
2.09310940439148	0.68	1	0.337306483704089	CD8+ PD.L1+ APC+	CD8+ PD.L1+ APC+
2.08134595507564	0.04	1	2.70789351890731	CD8+ PD.L1+ APC+	CD8+ PD.L1+ Tcell+
2.07681559705083	0	1	4.15363119410166	CD4+ APC+	CD4+ Tcell+
2.07298851893936	0	1	4.14597703787871	CD8+ PD.L1+ Tcell+	PD.L1+ CD4+ Tcell+
2.03016197051025	0.42	1	0.744118402474713	PD.L1+ CD4+	PD.L1+ CD4+ APC+
1.9668331360648	0.57	1	0.46529766132575	CD8+ APC+	CD8+ PD.L1+ APC+
1.96232958203395	0.58	1	0.44966387621819	CD8+ PD.L1+	PD.L1+ CD4+
-1.91838623444635	1	0	-3.8367724688927	CD4+	PD.L1+ CD4+ Tcell+
1.88335508114773	0	1	3.76671016229546	PD.L1+ CD4+ Epithelial+	PD.L1+ CD4+ Epithelial+
-1.87741339453168	1	0.11	-1.72875746260617	CD8+ Epithelial+	PD.L1+ CD4+ Epithelial+
1.85601072800172	0.02	1	2.82647928868611	CD4+ APC+	CD8+ Tcell+
