enrichm	p_higher_orig	p_lower_orig	PI_value	cell_1	cell_2
-4.85549144310187	1	0	-9.71098288620375	CD4+	CD8+ Epithelial+
-3.65191274464578	1	0	-7.30382548929157	CD8+ FoxP3+ Epithelial+	CD8+ Tcell+
-2.98185265328974	1	0	-5.96370530657948	CD4+ Epithelial+	CD8+ FoxP3+ Epithelial+
-2.83824893000339	1	0.01	-4.82209979691456	CD4+ Epithelial+	CD8+
-2.74631276642546	1	0	-5.49262553285092	CD4+	CD8+ FoxP3+ Epithelial+
2.59756253750079	0.08	1	2.71642048079125	CD8+ Epithelial+	CD8+ FoxP3+ Epithelial+
2.53051471669878	0.74	1	0.316159311673056	CD8+ FoxP3+ Epithelial+	CD8+ FoxP3+ Epithelial+
2.41343539468234	0	1	4.82687078936468	CD8+ Epithelial+	CD8+ Epithelial+
-2.1963972128035	1	0.04	-2.85757865625012	CD4+ Tcell+	CD8+ FoxP3+ Epithelial+
-2.15987133677839	1	0.04	-2.81005739592354	CD4+ APC+	CD8+ Epithelial+
1.70525673443887	0	1	3.41051346887774	CD4+	CD4+
-1.62271742271657	1	0.12	-1.43781955972554	CD4+ Epithelial+	CD8+ FoxP3+ Tcell+
-1.45575462218619	1	0	-2.91150924437238	CD4+ APC+	CD4+ Epithelial+
-1.4032677223393	1	0.04	-1.82569339871051	CD4+ Epithelial+	CD8+ APC+
-1.36497256960001	1	0	-2.72994513920003	CD4+ Tcell+	CD8+ Epithelial+
-1.29067716090292	1	0.44	-0.447590688157101	CD4+ APC+	CD8+ FoxP3+ Epithelial+
-1.25096157353322	1	0.5	-0.365818472656568	CD8+	CD8+ Epithelial+
-1.22239242133645	1	0.58	-0.280108764333135	CD4+ Tcell+	CD8+ FoxP3+ APC+
-1.2144664414436	1	0	-2.4289328828872	CD4+	CD4+ Epithelial+
-1.16992500144231	1	0.88	-0.0592098965489458	CD4+ APC+	CD8+
-1.15527822547791	1	0.56	-0.282032463533223	CD8+ APC+	CD8+ Epithelial+
-1.14201900487243	1	0.71	-0.162929000453196	CD4+ Tcell+	CD8+ FoxP3+ Tcell+
1.10987761777237	0	1	2.21975523554475	CD4+	CD4+ APC+
-1.0962153152593	1	0.71	-0.156394302401855	CD8+ Epithelial+	CD8+ FoxP3+ APC+
-1.09192248944104	1	0.62	-0.219104566770516	CD4+	CD8+ FoxP3+ Tcell+
-1.07275634243531	1	0.71	-0.15304746931277	CD8+ Epithelial+	CD8+ FoxP3+ Tcell+
-1.06413033741972	1	0.89	-0.0486919338698107	CD8+	CD8+ FoxP3+ Epithelial+
1.04730571477836	0.4	1	0.405533679711856	CD8+ FoxP3+ Tcell+	CD8+ Tcell+
-1.03058831983342	1	0	-2.06117663966685	CD8+ Epithelial+	CD8+ Tcell+
-1	1	0.99	0	CD8+ APC+	CD8+ APC+
-1	1	0.99	0	CD8+ FoxP3+ APC+	CD8+ FoxP3+ APC+
-1	1	0.99	0	CD8+	CD8+ APC+
-1	1	0.96	-0.0132282657337552	CD8+	CD8+ FoxP3+ Tcell+
-1	1	0.95	-0.0177287669604316	CD8+ FoxP3+ APC+	CD8+ FoxP3+ Epithelial+
-1	1	0.94	-0.0222763947111523	CD8+ FoxP3+ Epithelial+	CD8+ FoxP3+ Tcell+
-1	1	0.91	-0.0362121726544447	CD4+ APC+	CD8+ FoxP3+ Tcell+
-1	1	0.9	-0.0409586076789064	CD8+ APC+	CD8+ FoxP3+ Epithelial+
-0.993067700251703	1	0	-1.98613540050341	CD4+ Epithelial+	CD8+ Tcell+
0.954696832043428	0	1	1.90939366408686	CD8+ Tcell+	CD8+ Tcell+
-0.934673752122056	1	0.18	-0.674130078001941	CD4+ Epithelial+	CD8+ FoxP3+ APC+
0.786505054967521	0.26	0.98	0.44723527392666	CD4+	CD8+
0.734538856771666	0.04	0.97	0.955657085640666	CD4+ APC+	CD4+ Tcell+
-0.72124547021818	1	0	-1.44249094043636	CD4+ Epithelial+	CD4+ Tcell+
0.689225005220008	0	1	1.37845001044002	CD4+ Tcell+	CD8+ Tcell+
0.600701704025146	0	1	1.20140340805029	CD4+ Epithelial+	CD4+ Epithelial+
0.584962500721156	0.9	1	0.0239592495739098	CD4+ APC+	CD8+ APC+
0.584962500721156	0.96	1	0.0077380394038214	CD4+ APC+	CD8+ FoxP3+ APC+
0.547141035286189	0	1	1.09428207057238	CD4+	CD4+ Tcell+
0.54644368811678	0.04	0.98	0.710939629181184	CD4+ Tcell+	CD4+ Tcell+
-0.518964941946916	1	0.55	-0.130681585946266	CD8+ FoxP3+ APC+	CD8+ Tcell+
0.468098743030257	0.29	0.93	0.244758883422964	CD8+	CD8+ Tcell+
0.432959407276106	0.72	1	0.0591756534704409	CD4+ APC+	CD4+ APC+
-0.352138849811101	1	0	-0.704277699622202	CD4+ Epithelial+	CD8+ Epithelial+
0.337928573581078	0.19	0.9	0.236201936541231	CD4+ APC+	CD8+ Tcell+
0.280107919192735	0.55	0.95	0.0705345277831104	CD4+	CD8+ APC+
-0.270647589943669	0.82	0.58	-0.0620183507894936	CD8+ APC+	CD8+ Tcell+
-0.265344566520995	1	0.83	-0.0200920800165703	CD4+ Tcell+	CD8+ APC+
0.252766070379967	0.65	0.94	0.0456131702893158	CD4+ Tcell+	CD8+
-0.226068079479846	1	0.82	-0.0182938602443865	CD4+	CD8+ FoxP3+ APC+
0.201489598878556	0.05	0.97	0.246189814450465	CD4+	CD8+ Tcell+
0	1	1	0	CD8+ APC+	CD8+ FoxP3+ APC+
0	1	1	0	CD8+	CD8+
