enrichm	p_higher_orig	p_lower_orig	PI_value	cell_1	cell_2
-5.2779103796593	1	0	-10.5558207593186	CD4+ APC+	PD.L1+ CD4+ Epithelial+
-4.85199883711245	1	0	-9.70399767422489	CD4+ Tcell+	PD.L1+ CD4+ Epithelial+
-4.3327079336406	1	0	-8.66541586728121	CD4+	CD8+ PD.L1+ Epithelial+
-3.92620279167982	1	0	-7.85240558335964	CD4+	PD.L1+ CD4+ Epithelial+
-3.66902676550963	1	0	-7.33805353101926	FoxP3+ Treg+ Tcell+	PD.L1+ CD4+ Epithelial+
-3.45022149589718	1	0	-6.90044299179436	CD8+ PD.L1+	PD.L1+ CD4+ Epithelial+
-3.30961277245412	1	0	-6.61922554490825	CD4+ Tcell+	CD8+ PD.L1+ Epithelial+
-3.26153081524341	1	0	-6.52306163048681	CD4+	FoxP3+ PD.L1+ Treg+ Epithelial+
-2.94429056741371	1	0.01	-5.00226135808537	CD8+	PD.L1+ CD4+ Epithelial+
2.80762715435219	0	1	5.61525430870438	CD8+ PD.L1+ Epithelial+	CD8+ PD.L1+ Epithelial+
-2.76341157447001	1	0	-5.52682314894001	PD.L1+ CD4+	PD.L1+ CD4+ Epithelial+
2.72698150559358	0.52	1	0.751894604244522	PD.L1+ CD4+ Tcell+	PD.L1+ CD4+ Tcell+
2.51037318430047	0.02	1	3.82299396509291	CD8+ PD.L1+ Tcell+	CD8+ PD.L1+ Tcell+
2.4760145028329	0	1	4.9520290056658	CD4+ APC+	CD4+ APC+
2.39684380166527	0	1	4.79368760333055	CD4+ Tcell+	CD4+ Tcell+
-2.3536369546147	1	0.01	-3.99875858698715	CD8+ APC+	PD.L1+ CD4+ Epithelial+
-2.34955400086492	1	0	-4.69910800172985	CD4+ APC+	CD8+ PD.L1+ Tcell+
2.28798076296402	0.79	1	0.221728245501026	CD8+ PD.L1+	PD.L1+ CD4+
-2.21916852046216	1	0.04	-2.88720481055453	CD4+ Epithelial+	FoxP3+ Treg+ Tcell+
-2.17487421741405	1	0.03	-3.04034368235238	CD4+ Epithelial+	FoxP3+ PD.L1+ Treg+ Epithelial+
-2.17221317803758	1	0	-4.34442635607517	CD8+ Tcell+	PD.L1+ CD4+ Epithelial+
-2.02219023963407	1	0	-4.04438047926813	CD4+ Epithelial+	CD4+ Tcell+
-2.01122725542325	1	0.04	-2.6166669874026	CD4+ Epithelial+	CD8+ PD.L1+
1.96218573419894	0	1	3.92437146839788	CD4+ Epithelial+	CD4+ Epithelial+
1.87588630372842	0.03	1	2.62237651570186	CD8+ PD.L1+ Tcell+	CD8+ Tcell+
-1.82823365173352	1	0.02	-2.78417816963123	FoxP3+ PD.L1+ Treg+ Tcell+	PD.L1+ CD4+ Epithelial+
1.78708907359204	0	1	3.57417814718409	CD8+ PD.L1+ Epithelial+	CD8+ PD.L1+ Tcell+
-1.72883771328281	1	0.11	-1.59194618893095	CD8+ PD.L1+ Epithelial+	PD.L1+ CD4+
1.72165834137836	0	1	3.44331668275672	CD4+ Tcell+	PD.L1+ CD4+ Tcell+
-1.69187770463767	1	0.22	-1.07987844373267	CD4+ APC+	FoxP3+ PD.L1+ Treg+ Epithelial+
-1.65153011766015	1	0	-3.30306023532029	CD4+ APC+	CD8+ PD.L1+ Epithelial+
-1.62803122261304	1	0.12	-1.44252788744831	CD8+ Tcell+	PD.L1+ CD4+ Tcell+
-1.61775243583883	1	0.13	-1.38135345017601	CD4+ Epithelial+	CD8+
-1.59072177000984	1	0	-3.18144354001968	CD4+ Epithelial+	PD.L1+ CD4+ Tcell+
-1.55826763405574	1	0	-3.11653526811147	PD.L1+ CD4+ Epithelial+	PD.L1+ CD4+ Tcell+
-1.53771021810298	0.99	0.02	-2.34174620754943	CD4+	CD8+ Epithelial+
-1.50947230113689	1	0.15	-1.20135884120923	CD4+ APC+	CD8+ PD.L1+
-1.50618538733704	1	0.31	-0.745335871577975	CD4+ APC+	CD8+ Epithelial+
1.47051511776631	0.02	1	2.23941621745973	CD4+ Epithelial+	CD8+ Epithelial+
-1.45622918659895	1	0.18	-1.05030005702189	CD4+	CD8+ FoxP3+ PD.L1+ Tcell+
-1.45277112672536	1	0	-2.90554225345072	CD4+ Epithelial+	CD8+ PD.L1+ Epithelial+
-1.44961064782627	1	0.33	-0.679173150586642	CD8+ PD.L1+ Epithelial+	FoxP3+ PD.L1+ Treg+ Epithelial+
