enrichm	p_higher_orig	p_lower_orig	PI_value	cell_1	cell_2
-6.5668151540109	1	0	-13.1336303080218	CD4+ Epithelial+	CD8+ PD.L1+
-4.68929916053589	1	0	-9.37859832107178	CD4+	CD8+ PD.L1+
3.43069238127973	0.0600000000000001	1	3.96211335524812	CD8+ PD.L1+	CD8+ PD.L1+
-3.36703993178665	1	0	-6.7340798635733	CD4+ Epithelial+	PD.L1+ CD4+
-3.12928301694497	1	0	-6.25856603388993	CD8+ Tcell+	PD.L1+ CD4+
2.61572475449184	0.21	1	1.72004127176574	PD.L1+ CD4+ Epithelial+	PD.L1+ CD4+ Epithelial+
2.57783999357642	0	1	5.15567998715284	PD.L1+ CD4+	PD.L1+ CD4+
2.51902823053638	0	1	5.03805646107276	CD8+ PD.L1+	PD.L1+ CD4+
-2.27798474729977	1	0	-4.55596949459953	CD4+	PD.L1+ CD4+ APC+
-2.25108785433691	1	0.04	-2.92873282136719	CD4+ Tcell+	CD8+ PD.L1+
-2.20476675065461	1	0	-4.40953350130923	CD4+ Epithelial+	PD.L1+ CD4+ APC+
-2.1682714825898	1	0.03	-3.03111345517491	CD4+	CD8+ PD.L1+ APC+
2.12029423371771	0.8	1	0.194038686770384	CD8+ PD.L1+ Epithelial+	PD.L1+ CD4+ Epithelial+
-2.08308174149456	1	0.03	-2.91202330776946	CD4+ Epithelial+	CD8+ PD.L1+ APC+
-1.76977173924945	1	0	-3.5395434784989	CD4+	CD8+ PD.L1+ Epithelial+
-1.67499470158363	1	0.12	-1.484140190189	CD4+ APC+	CD4+ Epithelial+
1.6067668710395	0.25	1	0.940001443155646	CD4+ Tcell+	CD4+ Tcell+
1.58834514011581	0.39	1	0.632066078831874	PD.L1+ CD4+	PD.L1+ CD4+ APC+
-1.58496250072116	1	0.13	-1.35335504386711	CD8+ PD.L1+	CD8+ Tcell+
-1.58496250072116	1	0.11	-1.4594631949753	CD4+	CD8+ Epithelial+
-1.53051471669878	1	0.28	-0.822807775942376	CD8+ PD.L1+	FoxP3+ Treg+ Tcell+
-1.52546148897249	1	0.04	-1.98467115438345	FoxP3+ Treg+ Tcell+	PD.L1+ CD4+
-1.49032562658308	1	0.16	-1.14688169343461	CD8+ Tcell+	PD.L1+ CD4+ Epithelial+
-1.47957194163969	1	0.0600000000000001	-1.70876053533959	CD8+ PD.L1+	PD.L1+ CD4+ Epithelial+
-1.41503749927884	1	0.4	-0.547925363067704	FoxP3+ Treg+ Tcell+	PD.L1+ CD4+ Epithelial+
-1.31807576939176	1	0.25	-0.771109454488047	CD4+ Tcell+	CD8+ Tcell+
-1.24127776589493	1	0	-2.48255553178986	CD4+	PD.L1+ CD4+
-1.19993757050875	1	0.63	-0.232571931133718	CD8+ Tcell+	FoxP3+ Treg+ Tcell+
-1.18220333122075	1	0.74	-0.147702990616844	CD8+ PD.L1+	CD8+ PD.L1+ Epithelial+
-1.14135584924554	1	0.66	-0.198510541268597	FoxP3+ Treg+ Epithelial+	PD.L1+ CD4+
-1.13750352374993	1	0.95	-0.0201665348892324	CD8+ Tcell+	PD.L1+ CD4+ APC+
-1.11547721741994	1	0.88	-0.0564542945613741	CD4+ Tcell+	CD8+ PD.L1+ Epithelial+
-1.11547721741994	1	0.64	-0.208690888348463	CD8+ Epithelial+	PD.L1+ CD4+
-1.09953567355091	1	0.79	-0.106556016426641	CD8+ PD.L1+	PD.L1+ CD4+ Tcell+
-1.08746284125034	1	0.92	-0.0342736223133708	CD8+ PD.L1+	FoxP3+ Treg+ Epithelial+
-1.08746284125034	1	0.84	-0.0767542955812365	PD.L1+ CD4+ APC+	PD.L1+ CD4+ Epithelial+
1.07400058144378	0.44	1	0.372449961842707	CD8+ PD.L1+ APC+	PD.L1+ CD4+
-1.06413033741972	1	0.89	-0.0486919338698107	CD4+ Tcell+	CD8+ PD.L1+ APC+
-1.05889368905357	1	0.88	-0.0535906025667449	CD4+ Tcell+	PD.L1+ CD4+ Tcell+
-1.05444778402238	1	0.87	-0.0585401233260984	FoxP3+ Treg+ Tcell+	FoxP3+ Treg+ Tcell+
-1.04890960048095	1	0.71	-0.149645314169892	CD8+ Tcell+	CD8+ Tcell+
-1.03562390973072	1	0.8	-0.0947751025478259	CD8+ PD.L1+	CD8+ PD.L1+ Tcell+
1.00904513960301	0.36	1	0.435703951619157	PD.L1+ CD4+	PD.L1+ CD4+ Tcell+
-1	1	0.99	0	CD4+ APC+	CD8+ PD.L1+ APC+
-1	1	0.99	0	CD4+ APC+	CD8+ PD.L1+ Epithelial+
-1	1	0.99	0	CD4+ APC+	FoxP3+ Treg+ Epithelial+
-1	1	0.99	0	CD8+ Epithelial+	CD8+ PD.L1+ Tcell+
-1	1	0.99	0	CD8+ Epithelial+	FoxP3+ Treg+ Epithelial+
-1	1	0.99	0	CD8+ Epithelial+	PD.L1+ CD4+ Tcell+
-1	1	0.99	0	CD8+ PD.L1+ APC+	CD8+ PD.L1+ APC+
-1	1	0.99	0	CD8+ PD.L1+ Epithelial+	PD.L1+ CD4+ Tcell+
-1	1	0.99	0	FoxP3+ Treg+ Epithelial+	FoxP3+ Treg+ Tcell+
-1	1	0.99	0	PD.L1+ CD4+ APC+	PD.L1+ CD4+ APC+
-1	1	0.99	0	PD.L1+ CD4+ APC+	PD.L1+ CD4+ Tcell+
-1	1	0.98	-0.00436480540245009	CD8+ Epithelial+	CD8+ PD.L1+ APC+
-1	1	0.98	-0.00436480540245009	CD8+ PD.L1+ APC+	PD.L1+ CD4+ APC+
-1	1	0.98	-0.00436480540245009	CD8+ PD.L1+ APC+	PD.L1+ CD4+ Tcell+
-1	1	0.98	-0.00436480540245009	CD8+ PD.L1+ Tcell+	PD.L1+ CD4+ Tcell+
-1	1	0.97	-0.00877392430750515	FoxP3+ Treg+ Epithelial+	PD.L1+ CD4+ Epithelial+
-1	1	0.97	-0.00877392430750515	FoxP3+ Treg+ Tcell+	PD.L1+ CD4+ APC+
-1	1	0.96	-0.0132282657337552	CD8+ PD.L1+ Epithelial+	CD8+ PD.L1+ Tcell+
-1	1	0.96	-0.0132282657337552	CD8+ PD.L1+ Epithelial+	PD.L1+ CD4+ APC+
-1	1	0.96	-0.0132282657337552	CD8+ PD.L1+ Tcell+	CD8+ Tcell+
-1	1	0.96	-0.0132282657337552	CD8+ PD.L1+ Tcell+	PD.L1+ CD4+ APC+
-1	1	0.96	-0.0132282657337552	CD8+ Tcell+	FoxP3+ Treg+ Epithelial+
-1	1	0.95	-0.0177287669604316	CD4+ Tcell+	CD8+ Epithelial+
-1	1	0.95	-0.0177287669604316	CD8+ Epithelial+	FoxP3+ Treg+ Tcell+
-1	1	0.94	-0.0222763947111523	CD4+ APC+	CD8+ Tcell+
-1	1	0.94	-0.0222763947111523	CD4+ APC+	PD.L1+ CD4+ Epithelial+
-1	1	0.94	-0.0222763947111523	CD4+ Tcell+	FoxP3+ Treg+ Epithelial+
-1	1	0.94	-0.0222763947111523	CD8+ PD.L1+ APC+	CD8+ Tcell+
-1	1	0.94	-0.0222763947111523	CD8+ PD.L1+ APC+	FoxP3+ Treg+ Tcell+
-1	1	0.93	-0.0268721464003014	CD4+ APC+	CD4+ Tcell+
-1	1	0.93	-0.0268721464003014	CD8+ Epithelial+	CD8+ PD.L1+
-1	1	0.93	-0.0268721464003014	CD8+ Epithelial+	PD.L1+ CD4+ Epithelial+
-1	1	0.93	-0.0268721464003014	CD8+ PD.L1+ Epithelial+	CD8+ Tcell+
-1	1	0.93	-0.0268721464003014	FoxP3+ Treg+ Tcell+	PD.L1+ CD4+ Tcell+
-1	1	0.91	-0.0362121726544447	CD8+ PD.L1+ Tcell+	FoxP3+ Treg+ Tcell+
-1	1	0.91	-0.0362121726544447	CD8+ Tcell+	PD.L1+ CD4+ Tcell+
-1	1	0.9	-0.0409586076789064	CD4+ APC+	CD8+ PD.L1+
-1	1	0.9	-0.0409586076789064	CD4+ Tcell+	PD.L1+ CD4+ APC+
-1	1	0.9	-0.0409586076789064	CD8+ PD.L1+ Epithelial+	FoxP3+ Treg+ Tcell+
-0.979110755015785	1	0.01	-1.66347980369461	CD4+ Tcell+	PD.L1+ CD4+
0.967578522307623	0.78	1	0.0990538277335278	CD8+ PD.L1+	PD.L1+ CD4+ APC+
0.960471635813363	0.82	1	0.0777231969886901	CD8+ PD.L1+	CD8+ PD.L1+ APC+
-0.940211505335107	1	0	-1.88042301067021	CD4+	PD.L1+ CD4+ Epithelial+
0.927850214244165	0.62	1	0.186181914179611	CD4+ APC+	PD.L1+ CD4+
0.893084796083488	0.87	1	0.0495816814218668	CD8+ PD.L1+ Tcell+	PD.L1+ CD4+ Epithelial+
-0.857980995127572	1	0.25	-0.501941749084149	CD4+	CD4+ APC+
-0.83280479131326	0.97	0.12	-0.737912221573831	CD4+ Epithelial+	CD8+ PD.L1+ Tcell+
-0.814208593098667	1	0	-1.62841718619733	CD4+ Epithelial+	FoxP3+ Treg+ Tcell+
-0.800981228290057	1	0	-1.60196245658011	CD4+ Epithelial+	CD4+ Tcell+
0.787262822868784	0	1	1.57452564573757	CD4+ Epithelial+	CD4+ Epithelial+
-0.759155833800272	0.97	0.12	-0.672655073173777	CD4+ Epithelial+	CD8+ PD.L1+ Epithelial+
-0.698173111169147	0.93	0.21	-0.459102802764628	CD4+	PD.L1+ CD4+ Tcell+
0.696594411178973	0	1	1.39318882235795	CD4+	FoxP3+ Treg+ Tcell+
-0.681091243546484	1	0	-1.36218248709297	CD4+	CD4+ Epithelial+
-0.633084450339327	0.93	0.27	-0.349995653852223	CD4+ Epithelial+	PD.L1+ CD4+ Tcell+
0.625604485218502	0	1	1.251208970437	CD4+	CD8+ Tcell+
0.613421530048655	0	1	1.22684306009731	CD4+	CD4+
-0.550900664647523	0.92	0.2	-0.373389841016351	CD4+	CD8+ PD.L1+ Tcell+
0.512061953673708	0.36	0.98	0.221107468767194	CD4+ Epithelial+	CD8+ Epithelial+
-0.501397784082025	1	0.57	-0.118616679803382	CD8+ PD.L1+ Epithelial+	PD.L1+ CD4+
-0.487665299366241	1	0.46	-0.15990649627261	CD4+ Epithelial+	FoxP3+ Treg+ Epithelial+
0.452495331169973	0	1	0.904990662339946	CD4+	CD4+ Tcell+
0.437580067929932	0.32	0.96	0.210688702895549	CD4+	FoxP3+ Treg+ Epithelial+
0.382639508876406	0.36	0.86	0.165223080236684	CD4+ Tcell+	PD.L1+ CD4+ Epithelial+
-0.313915574835978	0.92	0.11	-0.289059348466709	CD4+ Epithelial+	CD8+ Tcell+
0.29891144216239	0.62	0.97	0.0599794057463427	CD4+ Tcell+	FoxP3+ Treg+ Tcell+
0.227410496103072	0.66	0.95	0.0395524154026298	CD8+ PD.L1+ Tcell+	PD.L1+ CD4+
-0.180072956818395	0.76	0.28	-0.0968075821098241	PD.L1+ CD4+	PD.L1+ CD4+ Epithelial+
-0.082462160191973	1	0.98	-0.000359931282303628	PD.L1+ CD4+ Epithelial+	PD.L1+ CD4+ Tcell+
-0.0418201756946269	1	0.99	0	CD8+ PD.L1+ APC+	PD.L1+ CD4+ Epithelial+
-0.0310268956206247	1	0.99	0	CD4+ Tcell+	CD8+ PD.L1+ Tcell+
0.030115182604723	0.39	0.64	0.0119840360268835	CD4+ Epithelial+	PD.L1+ CD4+ Epithelial+
0	1	1	0	CD4+ APC+	FoxP3+ Treg+ Tcell+
0	1	1	0	CD8+ Epithelial+	CD8+ Tcell+
