source,target,weight,type
CD4+ Epithelial+,CD8+,-3.33342373372519,Depletion
CD4+ Epithelial+,FoxP3+ Treg+,-2.38128337250378,Depletion
CD4+ Epithelial+,PD.L1+ CD4+,-2.34198574722862,Depletion
CD4+ Epithelial+,PD.L1+ CD4+ Epithelial+,-2.07382023329167,Depletion
CD4+ APC+,CD4+ Epithelial+,-1.41842808847962,Depletion
CD4+,CD4+ Epithelial+,-0.779245943938894,Depletion
CD4+ Epithelial+,CD8+ Tcell+,-0.596523942429799,Depletion
CD4+ Epithelial+,CD4+ Tcell+,-0.543220901047947,Depletion
CD4+,CD4+ APC+,1.6628874505579,Enrichment
CD4+,CD4+,1.55639334852439,Enrichment
CD4+ Epithelial+,CD4+ Epithelial+,0.127791196643508,Enrichment
