enrichm	p_higher_orig	p_lower_orig	PI_value	cell_1	cell_2
1.44294349584873	0.71	1	0.205861146343476	CD4+ Tcell+	CD4+ Tcell+
1.3515880684076	0	1	2.7031761368152	CD4+	CD4+ APC+
1.32192809488736	0.85	1	0.0865883375597622	CD4+ Tcell+	CD8+ Tcell+
1.3091245917474	0	1	2.61824918349481	CD4+	CD4+
-1.03394733192334	1	0.79	-0.100199849386336	CD4+ APC+	CD8+ Tcell+
-0.903038270112912	1	0	-1.80607654022582	CD4+ APC+	CD4+ Epithelial+
-0.702009064277268	1	0	-1.40401812855454	CD4+	CD4+ Epithelial+
-0.509182250642388	1	0	-1.01836450128478	CD4+ Epithelial+	CD4+ Tcell+
0.442943495848728	0.77	1	0.0477959939052246	CD4+ APC+	CD4+ APC+
-0.358958825832329	0.98	0.02	-0.546650766290841	CD4+ Epithelial+	CD8+ Tcell+
0.311039778744626	0.63	0.96	0.0602857380083295	CD4+ APC+	CD4+ Tcell+
-0.27500704749987	0.78	0.4	-0.106487168307792	CD4+	CD8+ Tcell+
0.145130199870165	0	1	0.29026039974033	CD4+ Epithelial+	CD4+ Epithelial+
0.129733929604017	0.35	0.71	0.0575626201309352	CD4+	CD4+ Tcell+
0	1	1	0	CD8+ Tcell+	CD8+ Tcell+
